ID,sentence,label
2082,"You can't relate with them, hell you barely can understand them.  ",0
686,The instructions didn't explain that a microphone jack could be used.,0
2565,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
2179,"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",1
2078,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0
319,I love this device.,1
937,The headset fulfills my requirements so I am happy with my purchase.,1
2270,I knew when I saw the film that more great things were to come from this gifted actor.  ,1
2174,"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",0
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
1836,Just had lunch here and had a great experience.,1
2054,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0
827,Good case!.,1
787,It is simple to use and I like it.,1
864,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1
770,AFter the first charge kept going dead after 12 minutes.,0
1605,The food is good.,1
1243,"(It wasn't busy either) Also, the building was FREEZING cold.",0
1609,I will not be eating there again.,0
0,So there is no way for me to plug it in here in the US unless I go by a converter.,0
344,Worst customer service.,0
1348,5 stars for the brick oven bread app!,1
2077,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0
333,"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1
1510,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
871,I received my headset in good time and was happy with it.,1
219,I'm still infatuated with this phone.,1
2655,Hated it.  ,0
1926,"It was so bad, I had lost the heart to finish it.",0
587,Also difficult to put on.I'd recommend avoiding this product.,0
634,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
2097,I hate movies like that.  ,0
2295,See it.  ,1
2271,"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",0
1229,This is the place where I first had pho and it was amazing!!,1
2122,Maybe there would be a reasonable explanation for this atrocity.  ,0
2505,"The results, well, are a shame.  ",0
2277,The dialogue is composed of things that make little sense.  ,0
1878,"I love the owner/chef, his one authentic Japanese cool dude!",1
1970,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0
